unicode,gb2312,Chinese,stroke number
0x6363,0xB5B7,捣,10
0x8E48,0xB5B8,蹈,17
0x5012,0xB5B9,倒,10
0x5C9B,0xB5BA,岛,7
0x7977,0xB5BB,祷,11
0x5BFC,0xB5BC,导,6
0x5230,0xB5BD,到,8
0x7A3B,0xB5BE,稻,15
0x60BC,0xB5BF,悼,11
0x9053,0xB5C0,道,12
0x76D7,0xB5C1,盗,11
0x5FB7,0xB5C2,德,15
0x5F97,0xB5C3,得,11
0x7684,0xB5C4,的,8
0x8E6C,0xB5C5,蹬,19
0x706F,0xB5C6,灯,6
0x767B,0xB5C7,登,12
0x7B49,0xB5C8,等,12
0x77AA,0xB5C9,瞪,17
0x51F3,0xB5CA,凳,14
0x9093,0xB5CB,邓,4
0x5824,0xB5CC,堤,12
0x4F4E,0xB5CD,低,7
0x6EF4,0xB5CE,滴,14
0x8FEA,0xB5CF,迪,8
0x654C,0xB5D0,敌,10
0x7B1B,0xB5D1,笛,11
0x72C4,0xB5D2,狄,7
0x6DA4,0xB5D3,涤,10
0x7FDF,0xB5D4,翟,14
0x5AE1,0xB5D5,嫡,14
0x62B5,0xB5D6,抵,8
0x5E95,0xB5D7,底,8
0x5730,0xB5D8,地,6
0x8482,0xB5D9,蒂,12
0x7B2C,0xB5DA,第,11
0x5E1D,0xB5DB,帝,9
0x5F1F,0xB5DC,弟,7
0x9012,0xB5DD,递,10
0x7F14,0xB5DE,缔,12
0x98A0,0xB5DF,颠,16
0x6382,0xB5E0,掂,11
0x6EC7,0xB5E1,滇,13
0x7898,0xB5E2,碘,13
0x70B9,0xB5E3,点,9
0x5178,0xB5E4,典,8
0x975B,0xB5E5,靛,16
0x57AB,0xB5E6,垫,9
0x7535,0xB5E7,电,5
0x4F43,0xB5E8,佃,7
0x7538,0xB5E9,甸,7
0x5E97,0xB5EA,店,8
0x60E6,0xB5EB,惦,11
0x5960,0xB5EC,奠,12
0x6DC0,0xB5ED,淀,11
0x6BBF,0xB5EE,殿,13
0x7889,0xB5EF,碉,13
0x53FC,0xB5F0,叼,5
0x96D5,0xB5F1,雕,16
0x51CB,0xB5F2,凋,10
0x5201,0xB5F3,刁,2
0x6389,0xB5F4,掉,11
0x540A,0xB5F5,吊,6
0x9493,0xB5F6,钓,8
0x8C03,0xB5F7,调,10
0x8DCC,0xB5F8,跌,12
0x7239,0xB5F9,爹,10
0x789F,0xB5FA,碟,14
0x8776,0xB5FB,蝶,15
0x8FED,0xB5FC,迭,8
0x8C0D,0xB5FD,谍,11
0x53E0,0xB5FE,叠,13
0x4E01,0xB6A1,丁,2
0x76EF,0xB6A2,盯,7
0x53EE,0xB6A3,叮,5
0x9489,0xB6A4,钉,7
0x9876,0xB6A5,顶,8
0x9F0E,0xB6A6,鼎,12
0x952D,0xB6A7,锭,13
0x5B9A,0xB6A8,定,8
0x8BA2,0xB6A9,订,4
0x4E22,0xB6AA,丢,6
0x4E1C,0xB6AB,东,5
0x51AC,0xB6AC,冬,5
0x8463,0xB6AD,董,12
0x61C2,0xB6AE,懂,15
0x52A8,0xB6AF,动,6
0x680B,0xB6B0,栋,9
0x4F97,0xB6B1,侗,8
0x606B,0xB6B2,恫,9
0x51BB,0xB6B3,冻,7
0x6D1E,0xB6B4,洞,9
0x515C,0xB6B5,兜,11
0x6296,0xB6B6,抖,7
0x6597,0xB6B7,斗,4
0x9661,0xB6B8,陡,9
0x8C46,0xB6B9,豆,7
0x9017,0xB6BA,逗,10
0x75D8,0xB6BB,痘,12
0x90FD,0xB6BC,都,10
0x7763,0xB6BD,督,13
0x6BD2,0xB6BE,毒,9
0x728A,0xB6BF,犊,12
0x72EC,0xB6C0,独,9
0x8BFB,0xB6C1,读,10
0x5835,0xB6C2,堵,11
0x7779,0xB6C3,睹,13
0x8D4C,0xB6C4,赌,12
0x675C,0xB6C5,杜,7
0x9540,0xB6C6,镀,14
0x809A,0xB6C7,肚,7
0x5EA6,0xB6C8,度,9
0x6E21,0xB6C9,渡,12
0x5992,0xB6CA,妒,7
0x7AEF,0xB6CB,端,14
0x77ED,0xB6CC,短,12
0x953B,0xB6CD,锻,14
0x6BB5,0xB6CE,段,9
0x65AD,0xB6CF,断,11
0x7F0E,0xB6D0,缎,12
0x5806,0xB6D1,堆,11
0x5151,0xB6D2,兑,7
0x961F,0xB6D3,队,4
0x5BF9,0xB6D4,对,5
0x58A9,0xB6D5,墩,15
0x5428,0xB6D6,吨,7
0x8E72,0xB6D7,蹲,19
0x6566,0xB6D8,敦,12
0x987F,0xB6D9,顿,10
0x56E4,0xB6DA,囤,7
0x949D,0xB6DB,钝,9
0x76FE,0xB6DC,盾,9
0x9041,0xB6DD,遁,12
0x6387,0xB6DE,掇,11
0x54C6,0xB6DF,哆,9
0x591A,0xB6E0,多,6
0x593A,0xB6E1,夺,6
0x579B,0xB6E2,垛,9
0x8EB2,0xB6E3,躲,13
0x6735,0xB6E4,朵,6
0x8DFA,0xB6E5,跺,13
0x8235,0xB6E6,舵,11
0x5241,0xB6E7,剁,8
0x60F0,0xB6E8,惰,12
0x5815,0xB6E9,堕,11
0x86FE,0xB6EA,蛾,13
0x5CE8,0xB6EB,峨,10
0x9E45,0xB6EC,鹅,12
0x4FC4,0xB6ED,俄,9
0x989D,0xB6EE,额,15
0x8BB9,0xB6EF,讹,6
0x5A25,0xB6F0,娥,10
0x6076,0xB6F1,恶,10
0x5384,0xB6F2,厄,4
0x627C,0xB6F3,扼,7
0x904F,0xB6F4,遏,12
0x9102,0xB6F5,鄂,11
0x997F,0xB6F6,饿,10
0x6069,0xB6F7,恩,10
0x800C,0xB6F8,而,6
0x513F,0xB6F9,儿,2
0x8033,0xB6FA,耳,6
0x5C14,0xB6FB,尔,5
0x9975,0xB6FC,饵,9
0x6D31,0xB6FD,洱,9
0x4E8C,0xB6FE,二,2
0x8D30,0xB7A1,贰,9
0x53D1,0xB7A2,发,5
0x7F5A,0xB7A3,罚,9
0x7B4F,0xB7A4,筏,12
0x4F10,0xB7A5,伐,6
0x4E4F,0xB7A6,乏,4
0x9600,0xB7A7,阀,9
0x6CD5,0xB7A8,法,8
0x73D0,0xB7A9,珐,9
0x85E9,0xB7AA,藩,18
0x5E06,0xB7AB,帆,6
0x756A,0xB7AC,番,12
0x7FFB,0xB7AD,翻,18
0x6A0A,0xB7AE,樊,15
0x77FE,0xB7AF,矾,8
0x9492,0xB7B0,钒,8
0x7E41,0xB7B1,繁,17
0x51E1,0xB7B2,凡,3
0x70E6,0xB7B3,烦,10
0x53CD,0xB7B4,反,4
0x8FD4,0xB7B5,返,7
0x8303,0xB7B6,范,8
0x8D29,0xB7B7,贩,8
0x72AF,0xB7B8,犯,5
0x996D,0xB7B9,饭,7
0x6CDB,0xB7BA,泛,7
0x574A,0xB7BB,坊,7
0x82B3,0xB7BC,芳,7
0x65B9,0xB7BD,方,4
0x80AA,0xB7BE,肪,8
0x623F,0xB7BF,房,8
0x9632,0xB7C0,防,6
0x59A8,0xB7C1,妨,7
0x4EFF,0xB7C2,仿,6
0x8BBF,0xB7C3,访,6
0x7EBA,0xB7C4,纺,7
0x653E,0xB7C5,放,8
0x83F2,0xB7C6,菲,11
0x975E,0xB7C7,非,8
0x5561,0xB7C8,啡,11
0x98DE,0xB7C9,飞,3
0x80A5,0xB7CA,肥,8
0x532A,0xB7CB,匪,10
0x8BFD,0xB7CC,诽,10
0x5420,0xB7CD,吠,7
0x80BA,0xB7CE,肺,8
0x5E9F,0xB7CF,废,8
0x6CB8,0xB7D0,沸,8
0x8D39,0xB7D1,费,9
0x82AC,0xB7D2,芬,7
0x915A,0xB7D3,酚,11
0x5429,0xB7D4,吩,7
0x6C1B,0xB7D5,氛,8
0x5206,0xB7D6,分,4
0x7EB7,0xB7D7,纷,7
0x575F,0xB7D8,坟,7
0x711A,0xB7D9,焚,12
0x6C7E,0xB7DA,汾,7
0x7C89,0xB7DB,粉,10
