unicode,gb2312,Chinese,id
0x5BA0,0xB3E8,宠,353
0x62BD,0xB3E9,抽,354
0x916C,0xB3EA,酬,355
0x7574,0xB3EB,畴,356
0x8E0C,0xB3EC,踌,357
0x7A20,0xB3ED,稠,358
0x6101,0xB3EE,愁,359
0x7B79,0xB3EF,筹,360
0x4EC7,0xB3F0,仇,361
0x7EF8,0xB3F1,绸,362
0x7785,0xB3F2,瞅,363
0x4E11,0xB3F3,丑,364
0x81ED,0xB3F4,臭,365
0x521D,0xB3F5,初,366
0x51FA,0xB3F6,出,367
0x6A71,0xB3F7,橱,368
0x53A8,0xB3F8,厨,369
0x8E87,0xB3F9,躇,370
0x9504,0xB3FA,锄,371
0x96CF,0xB3FB,雏,372
0x6EC1,0xB3FC,滁,373
0x9664,0xB3FD,除,374
0x695A,0xB3FE,楚,375
0x7840,0xB4A1,础,376
0x50A8,0xB4A2,储,377
0x77D7,0xB4A3,矗,378
0x6410,0xB4A4,搐,379
0x89E6,0xB4A5,触,380
0x5904,0xB4A6,处,381
0x63E3,0xB4A7,揣,382
0x5DDD,0xB4A8,川,383
0x7A7F,0xB4A9,穿,384
0x693D,0xB4AA,椽,385
0x4F20,0xB4AB,传,386
0x8239,0xB4AC,船,387
0x5598,0xB4AD,喘,388
0x4E32,0xB4AE,串,389
0x75AE,0xB4AF,疮,390
0x7A97,0xB4B0,窗,391
0x5E62,0xB4B1,幢,392
0x5E8A,0xB4B2,床,393
0x95EF,0xB4B3,闯,394
0x521B,0xB4B4,创,395
0x5439,0xB4B5,吹,396
0x708A,0xB4B6,炊,397
0x6376,0xB4B7,捶,398
0x9524,0xB4B8,锤,399
0x5782,0xB4B9,垂,400
0x6625,0xB4BA,春,401
0x693F,0xB4BB,椿,402
0x9187,0xB4BC,醇,403
0x5507,0xB4BD,唇,404
0x6DF3,0xB4BE,淳,405
0x7EAF,0xB4BF,纯,406
0x8822,0xB4C0,蠢,407
0x6233,0xB4C1,戳,408
0x7EF0,0xB4C2,绰,409
0x75B5,0xB4C3,疵,410
0x8328,0xB4C4,茨,411
0x78C1,0xB4C5,磁,412
0x96CC,0xB4C6,雌,413
0x8F9E,0xB4C7,辞,414
0x6148,0xB4C8,慈,415
0x74F7,0xB4C9,瓷,416
0x8BCD,0xB4CA,词,417
0x6B64,0xB4CB,此,418
0x523A,0xB4CC,刺,419
0x8D50,0xB4CD,赐,420
0x6B21,0xB4CE,次,421
0x806A,0xB4CF,聪,422
0x8471,0xB4D0,葱,423
0x56F1,0xB4D1,囱,424
0x5306,0xB4D2,匆,425
0x4ECE,0xB4D3,从,426
