unicode,gb2312,Chinese,stroke number,id
0x6B65,0xB2BD,步,7,216
0x7C3F,0xB2BE,簿,19,217
0x90E8,0xB2BF,部,10,218
0x6016,0xB2C0,怖,8,219
0x64E6,0xB2C1,擦,17,220
0x731C,0xB2C2,猜,11,221
0x88C1,0xB2C3,裁,12,222
0x6750,0xB2C4,材,7,223
0x624D,0xB2C5,才,3,224
0x8D22,0xB2C6,财,7,225
0x776C,0xB2C7,睬,12,226
0x8E29,0xB2C8,踩,15,227
0x91C7,0xB2C9,采,8,228
0x5F69,0xB2CA,彩,11,229
0x83DC,0xB2CB,菜,11,230
0x8521,0xB2CC,蔡,14,231
0x9910,0xB2CD,餐,16,232
0x53C2,0xB2CE,参,8,233
0x8695,0xB2CF,蚕,10,234
0x6B8B,0xB2D0,残,9,235
0x60ED,0xB2D1,惭,11,236
0x60E8,0xB2D2,惨,11,237
0x707F,0xB2D3,灿,7,238
0x82CD,0xB2D4,苍,7,239
0x8231,0xB2D5,舱,10,240
0x4ED3,0xB2D6,仓,4,241
0x6CA7,0xB2D7,沧,7,242
0x85CF,0xB2D8,藏,17,243
0x64CD,0xB2D9,操,16,244
0x7CD9,0xB2DA,糙,16,245
0x69FD,0xB2DB,槽,15,246
0x66F9,0xB2DC,曹,11,247
0x8349,0xB2DD,草,9,248
0x5395,0xB2DE,厕,8,249
0x7B56,0xB2DF,策,12,250
0x4FA7,0xB2E0,侧,8,251
0x518C,0xB2E1,册,5,252
0x6D4B,0xB2E2,测,9,253
0x5C42,0xB2E3,层,7,254
0x8E6D,0xB2E4,蹭,19,255
0x63D2,0xB2E5,插,12,256
0x53C9,0xB2E6,叉,3,257
0x832C,0xB2E7,茬,9,258
0x8336,0xB2E8,茶,9,259
0x67E5,0xB2E9,查,9,260
0x78B4,0xB2EA,碴,14,261
0x643D,0xB2EB,搽,12,262
0x5BDF,0xB2EC,察,14,263
0x5C94,0xB2ED,岔,7,264
0x5DEE,0xB2EE,差,9,265
0x8BE7,0xB2EF,诧,8,266
0x62C6,0xB2F0,拆,8,267
0x67F4,0xB2F1,柴,10,268
0x8C7A,0xB2F2,豺,10,269
0x6400,0xB2F3,搀,12,270
0x63BA,0xB2F4,掺,11,271
0x8749,0xB2F5,蝉,14,272
0x998B,0xB2F6,馋,12,273
0x8C17,0xB2F7,谗,11,274
0x7F20,0xB2F8,缠,13,275
0x94F2,0xB2F9,铲,11,276
0x4EA7,0xB2FA,产,6,277
0x9610,0xB2FB,阐,11,278
0x98A4,0xB2FC,颤,19,279
0x660C,0xB2FD,昌,8,280
0x7316,0xB2FE,猖,11,281
0x573A,0xB3A1,场,6,282
0x5C1D,0xB3A2,尝,9,283
0x5E38,0xB3A3,常,11,284
0x957F,0xB3A4,长,4,285
0x507F,0xB3A5,偿,11,286
0x80A0,0xB3A6,肠,7,287
0x5382,0xB3A7,厂,2,288
0x655E,0xB3A8,敞,12,289
0x7545,0xB3A9,畅,8,290
0x5531,0xB3AA,唱,11,291
0x5021,0xB3AB,倡,10,292
0x8D85,0xB3AC,超,12,293
0x6284,0xB3AD,抄,7,294
0x949E,0xB3AE,钞,9,295
0x671D,0xB3AF,朝,12,296
0x5632,0xB3B0,嘲,15,297
0x6F6E,0xB3B1,潮,15,298
0x5DE2,0xB3B2,巢,11,299
0x5435,0xB3B3,吵,7,300
0x7092,0xB3B4,炒,8,301
0x8F66,0xB3B5,车,4,302
0x626F,0xB3B6,扯,7,303
0x64A4,0xB3B7,撤,15,304
0x63A3,0xB3B8,掣,12,305
0x5F7B,0xB3B9,彻,7,306
0x6F88,0xB3BA,澈,15,307
0x90F4,0xB3BB,郴,10,308
0x81E3,0xB3BC,臣,6,309
0x8FB0,0xB3BD,辰,7,310
0x5C18,0xB3BE,尘,6,311
0x6668,0xB3BF,晨,11,312
0x5FF1,0xB3C0,忱,7,313
0x6C89,0xB3C1,沉,7,314
0x9648,0xB3C2,陈,7,315
0x8D81,0xB3C3,趁,12,316
0x886C,0xB3C4,衬,8,317
0x6491,0xB3C5,撑,15,318
0x79F0,0xB3C6,称,10,319
0x57CE,0xB3C7,城,9,320
0x6A59,0xB3C8,橙,16,321
0x6210,0xB3C9,成,6,322
0x5448,0xB3CA,呈,7,323
0x4E58,0xB3CB,乘,10,324
0x7A0B,0xB3CC,程,12,325
0x60E9,0xB3CD,惩,12,326
0x6F84,0xB3CE,澄,15,327
0x8BDA,0xB3CF,诚,8,328
0x627F,0xB3D0,承,8,329
0x901E,0xB3D1,逞,10,330
0x9A8B,0xB3D2,骋,10,331
0x79E4,0xB3D3,秤,10,332
0x5403,0xB3D4,吃,6,333
0x75F4,0xB3D5,痴,13,334
0x6301,0xB3D6,持,9,335
0x5319,0xB3D7,匙,11,336
0x6C60,0xB3D8,池,6,337
0x8FDF,0xB3D9,迟,7,338
0x5F1B,0xB3DA,弛,6,339
0x9A70,0xB3DB,驰,6,340
0x803B,0xB3DC,耻,10,341
0x9F7F,0xB3DD,齿,8,342
0x4F88,0xB3DE,侈,8,343
0x5C3A,0xB3DF,尺,4,344
0x8D64,0xB3E0,赤,7,345
0x7FC5,0xB3E1,翅,10,346
0x65A5,0xB3E2,斥,5,347
0x70BD,0xB3E3,炽,9,348
0x5145,0xB3E4,充,6,349
0x51B2,0xB3E5,冲,6,350
0x866B,0xB3E6,虫,6,351
0x5D07,0xB3E7,崇,11,352
0x5BA0,0xB3E8,宠,8,353
0x62BD,0xB3E9,抽,8,354
0x916C,0xB3EA,酬,13,355
0x7574,0xB3EB,畴,12,356
0x8E0C,0xB3EC,踌,14,357
0x7A20,0xB3ED,稠,13,358
0x6101,0xB3EE,愁,13,359
0x7B79,0xB3EF,筹,13,360
0x4EC7,0xB3F0,仇,4,361
0x7EF8,0xB3F1,绸,11,362
0x7785,0xB3F2,瞅,14,363
0x4E11,0xB3F3,丑,4,364
0x81ED,0xB3F4,臭,10,365
0x521D,0xB3F5,初,7,366
0x51FA,0xB3F6,出,5,367
0x6A71,0xB3F7,橱,16,368
0x53A8,0xB3F8,厨,12,369
0x8E87,0xB3F9,躇,18,370
0x9504,0xB3FA,锄,12,371
0x96CF,0xB3FB,雏,13,372
0x6EC1,0xB3FC,滁,12,373
0x9664,0xB3FD,除,9,374
0x695A,0xB3FE,楚,13,375
0x7840,0xB4A1,础,10,376
0x50A8,0xB4A2,储,12,377
0x77D7,0xB4A3,矗,24,378
0x6410,0xB4A4,搐,13,379
0x89E6,0xB4A5,触,13,380
0x5904,0xB4A6,处,5,381
0x63E3,0xB4A7,揣,12,382
0x5DDD,0xB4A8,川,3,383
0x7A7F,0xB4A9,穿,9,384
0x693D,0xB4AA,椽,13,385
0x4F20,0xB4AB,传,7,386
0x8239,0xB4AC,船,11,387
0x5598,0xB4AD,喘,12,388
0x4E32,0xB4AE,串,7,389
0x75AE,0xB4AF,疮,9,390
0x7A97,0xB4B0,窗,12,391
0x5E62,0xB4B1,幢,15,392
0x5E8A,0xB4B2,床,7,393
0x95EF,0xB4B3,闯,6,394
0x521B,0xB4B4,创,6,395
0x5439,0xB4B5,吹,7,396
0x708A,0xB4B6,炊,8,397
0x6376,0xB4B7,捶,11,398
0x9524,0xB4B8,锤,13,399
0x5782,0xB4B9,垂,8,400
0x6625,0xB4BA,春,9,401
0x693F,0xB4BB,椿,13,402
0x9187,0xB4BC,醇,15,403
0x5507,0xB4BD,唇,10,404
0x6DF3,0xB4BE,淳,11,405
0x7EAF,0xB4BF,纯,7,406
0x8822,0xB4C0,蠢,21,407
0x6233,0xB4C1,戳,18,408
0x7EF0,0xB4C2,绰,11,409
0x75B5,0xB4C3,疵,11,410
0x8328,0xB4C4,茨,9,411
0x78C1,0xB4C5,磁,14,412
0x96CC,0xB4C6,雌,14,413
0x8F9E,0xB4C7,辞,13,414
0x6148,0xB4C8,慈,13,415
0x74F7,0xB4C9,瓷,10,416
0x8BCD,0xB4CA,词,7,417
0x6B64,0xB4CB,此,6,418
0x523A,0xB4CC,刺,8,419
0x8D50,0xB4CD,赐,12,420
0x6B21,0xB4CE,次,6,421
0x806A,0xB4CF,聪,15,422
0x8471,0xB4D0,葱,12,423
0x56F1,0xB4D1,囱,7,424
0x5306,0xB4D2,匆,5,425
0x4ECE,0xB4D3,从,4,426
0x4E1B,0xB4D4,丛,5,427
0x51D1,0xB4D5,凑,11,428
0x7C97,0xB4D6,粗,11,429
0x918B,0xB4D7,醋,15,430
0x7C07,0xB4D8,簇,17,431
0x4FC3,0xB4D9,促,9,432
0x8E7F,0xB4DA,蹿,19,433
0x7BE1,0xB4DB,篡,16,434
0x7A9C,0xB4DC,窜,12,435
0x6467,0xB4DD,摧,14,436
0x5D14,0xB4DE,崔,11,437
0x50AC,0xB4DF,催,13,438
0x8106,0xB4E0,脆,10,439
0x7601,0xB4E1,瘁,13,440
0x7CB9,0xB4E2,粹,14,441
0x6DEC,0xB4E3,淬,11,442
0x7FE0,0xB4E4,翠,14,443
0x6751,0xB4E5,村,7,444
0x5B58,0xB4E6,存,6,445
0x5BF8,0xB4E7,寸,3,446
0x78CB,0xB4E8,磋,14,447
0x64AE,0xB4E9,撮,15,448
0x6413,0xB4EA,搓,12,449
0x63AA,0xB4EB,措,11,450
0x632B,0xB4EC,挫,10,451
0x9519,0xB4ED,错,13,452
0x642D,0xB4EE,搭,12,453
0x8FBE,0xB4EF,达,6,454
0x7B54,0xB4F0,答,12,455
0x7629,0xB4F1,瘩,14,456
0x6253,0xB4F2,打,5,457
0x5927,0xB4F3,大,3,458
0x5446,0xB4F4,呆,7,459
0x6B79,0xB4F5,歹,4,460
0x50A3,0xB4F6,傣,12,461
0x6234,0xB4F7,戴,17,462
0x5E26,0xB4F8,带,9,463
0x6B86,0xB4F9,殆,9,464
0x4EE3,0xB4FA,代,5,465
0x8D37,0xB4FB,贷,9,466
0x888B,0xB4FC,袋,11,467
0x5F85,0xB4FD,待,9,468
0x902E,0xB4FE,逮,11,469
0x6020,0xB5A1,怠,9,470
0x803D,0xB5A2,耽,10,471
0x62C5,0xB5A3,担,8,472
0x4E39,0xB5A4,丹,4,473
0x5355,0xB5A5,单,8,474
0x90F8,0xB5A6,郸,10,475
0x63B8,0xB5A7,掸,11,476
0x80C6,0xB5A8,胆,9,477
0x65E6,0xB5A9,旦,5,478
0x6C2E,0xB5AA,氮,12,479
0x4F46,0xB5AB,但,7,480
0x60EE,0xB5AC,惮,11,481
0x6DE1,0xB5AD,淡,11,482
0x8BDE,0xB5AE,诞,8,483
0x5F39,0xB5AF,弹,11,484
0x86CB,0xB5B0,蛋,11,485
0x5F53,0xB5B1,当,6,486
0x6321,0xB5B2,挡,9,487
0x515A,0xB5B3,党,10,488
0x8361,0xB5B4,荡,9,489
0x6863,0xB5B5,档,10,490
0x5200,0xB5B6,刀,2,491
0x6363,0xB5B7,捣,10,492
0x8E48,0xB5B8,蹈,17,493
0x5012,0xB5B9,倒,10,494
0x5C9B,0xB5BA,岛,7,495
0x7977,0xB5BB,祷,11,496
0x5BFC,0xB5BC,导,6,497
0x5230,0xB5BD,到,8,498
0x7A3B,0xB5BE,稻,15,499
0x60BC,0xB5BF,悼,11,500
0x9053,0xB5C0,道,12,501
0x76D7,0xB5C1,盗,11,502
0x5FB7,0xB5C2,德,15,503
0x5F97,0xB5C3,得,11,504
0x7684,0xB5C4,的,8,505
0x8E6C,0xB5C5,蹬,19,506
0x706F,0xB5C6,灯,6,507
0x767B,0xB5C7,登,12,508
0x7B49,0xB5C8,等,12,509
0x77AA,0xB5C9,瞪,17,510
0x51F3,0xB5CA,凳,14,511
0x9093,0xB5CB,邓,4,512
0x5824,0xB5CC,堤,12,513
0x4F4E,0xB5CD,低,7,514
0x6EF4,0xB5CE,滴,14,515
0x8FEA,0xB5CF,迪,8,516
0x654C,0xB5D0,敌,10,517
0x7B1B,0xB5D1,笛,11,518
0x72C4,0xB5D2,狄,7,519
0x6DA4,0xB5D3,涤,10,520
0x7FDF,0xB5D4,翟,14,521
0x5AE1,0xB5D5,嫡,14,522
0x62B5,0xB5D6,抵,8,523
0x5E95,0xB5D7,底,8,524
0x5730,0xB5D8,地,6,525
0x8482,0xB5D9,蒂,12,526
0x7B2C,0xB5DA,第,11,527
0x5E1D,0xB5DB,帝,9,528
0x5F1F,0xB5DC,弟,7,529
0x9012,0xB5DD,递,10,530
0x7F14,0xB5DE,缔,12,531
0x98A0,0xB5DF,颠,16,532
0x6382,0xB5E0,掂,11,533
0x6EC7,0xB5E1,滇,13,534
0x7898,0xB5E2,碘,13,535
0x70B9,0xB5E3,点,9,536
0x5178,0xB5E4,典,8,537
0x975B,0xB5E5,靛,16,538
0x57AB,0xB5E6,垫,9,539
0x7535,0xB5E7,电,5,540
0x4F43,0xB5E8,佃,7,541
0x7538,0xB5E9,甸,7,542
0x5E97,0xB5EA,店,8,543
0x60E6,0xB5EB,惦,11,544
0x5960,0xB5EC,奠,12,545
0x6DC0,0xB5ED,淀,11,546
0x6BBF,0xB5EE,殿,13,547
0x7889,0xB5EF,碉,13,548
0x53FC,0xB5F0,叼,5,549
0x96D5,0xB5F1,雕,16,550
0x51CB,0xB5F2,凋,10,551
0x5201,0xB5F3,刁,2,552
0x6389,0xB5F4,掉,11,553
0x540A,0xB5F5,吊,6,554
0x9493,0xB5F6,钓,8,555
0x8C03,0xB5F7,调,10,556
0x8DCC,0xB5F8,跌,12,557
0x7239,0xB5F9,爹,10,558
0x789F,0xB5FA,碟,14,559
0x8776,0xB5FB,蝶,15,560
0x8FED,0xB5FC,迭,8,561
0x8C0D,0xB5FD,谍,11,562
0x53E0,0xB5FE,叠,13,563
0x4E01,0xB6A1,丁,2,564
0x76EF,0xB6A2,盯,7,565
0x53EE,0xB6A3,叮,5,566
0x9489,0xB6A4,钉,7,567
0x9876,0xB6A5,顶,8,568
0x9F0E,0xB6A6,鼎,12,569
0x952D,0xB6A7,锭,13,570
0x5B9A,0xB6A8,定,8,571
0x8BA2,0xB6A9,订,4,572
0x4E22,0xB6AA,丢,6,573
0x4E1C,0xB6AB,东,5,574
0x51AC,0xB6AC,冬,5,575
0x8463,0xB6AD,董,12,576
0x61C2,0xB6AE,懂,15,577
0x52A8,0xB6AF,动,6,578
0x680B,0xB6B0,栋,9,579
0x4F97,0xB6B1,侗,8,580
0x606B,0xB6B2,恫,9,581
0x51BB,0xB6B3,冻,7,582
0x6D1E,0xB6B4,洞,9,583
0x515C,0xB6B5,兜,11,584
0x6296,0xB6B6,抖,7,585
0x6597,0xB6B7,斗,4,586
0x9661,0xB6B8,陡,9,587
0x8C46,0xB6B9,豆,7,588
0x9017,0xB6BA,逗,10,589
0x75D8,0xB6BB,痘,12,590
0x90FD,0xB6BC,都,10,591
0x7763,0xB6BD,督,13,592
0x6BD2,0xB6BE,毒,9,593
0x728A,0xB6BF,犊,12,594
0x72EC,0xB6C0,独,9,595
0x8BFB,0xB6C1,读,10,596
0x5835,0xB6C2,堵,11,597
0x7779,0xB6C3,睹,13,598
0x8D4C,0xB6C4,赌,12,599
0x675C,0xB6C5,杜,7,600
0x9540,0xB6C6,镀,14,601
0x809A,0xB6C7,肚,7,602
0x5EA6,0xB6C8,度,9,603
0x6E21,0xB6C9,渡,12,604
0x5992,0xB6CA,妒,7,605
0x7AEF,0xB6CB,端,14,606
0x77ED,0xB6CC,短,12,607
0x953B,0xB6CD,锻,14,608
0x6BB5,0xB6CE,段,9,609
0x65AD,0xB6CF,断,11,610
0x7F0E,0xB6D0,缎,12,611
0x5806,0xB6D1,堆,11,612
0x5151,0xB6D2,兑,7,613
0x961F,0xB6D3,队,4,614
0x5BF9,0xB6D4,对,5,615
0x58A9,0xB6D5,墩,15,616
0x5428,0xB6D6,吨,7,617
0x8E72,0xB6D7,蹲,19,618
0x6566,0xB6D8,敦,12,619
0x987F,0xB6D9,顿,10,620
0x56E4,0xB6DA,囤,7,621
0x949D,0xB6DB,钝,9,622
0x76FE,0xB6DC,盾,9,623
0x9041,0xB6DD,遁,12,624
0x6387,0xB6DE,掇,11,625
0x54C6,0xB6DF,哆,9,626
0x591A,0xB6E0,多,6,627
0x593A,0xB6E1,夺,6,628
0x579B,0xB6E2,垛,9,629
0x8EB2,0xB6E3,躲,13,630
0x6735,0xB6E4,朵,6,631
0x8DFA,0xB6E5,跺,13,632
0x8235,0xB6E6,舵,11,633
0x5241,0xB6E7,剁,8,634
0x60F0,0xB6E8,惰,12,635
0x5815,0xB6E9,堕,11,636
0x86FE,0xB6EA,蛾,13,637
0x5CE8,0xB6EB,峨,10,638
0x9E45,0xB6EC,鹅,12,639
0x4FC4,0xB6ED,俄,9,640
0x989D,0xB6EE,额,15,641
0x8BB9,0xB6EF,讹,6,642
0x5A25,0xB6F0,娥,10,643
0x6076,0xB6F1,恶,10,644
0x5384,0xB6F2,厄,4,645
0x627C,0xB6F3,扼,7,646
0x904F,0xB6F4,遏,12,647
0x9102,0xB6F5,鄂,11,648
0x997F,0xB6F6,饿,10,649
0x6069,0xB6F7,恩,10,650
0x800C,0xB6F8,而,6,651
0x513F,0xB6F9,儿,2,652
0x8033,0xB6FA,耳,6,653
0x5C14,0xB6FB,尔,5,654
0x9975,0xB6FC,饵,9,655
0x6D31,0xB6FD,洱,9,656
0x4E8C,0xB6FE,二,2,657
0x8D30,0xB7A1,贰,9,658
0x53D1,0xB7A2,发,5,659
0x7F5A,0xB7A3,罚,9,660
0x7B4F,0xB7A4,筏,12,661
0x4F10,0xB7A5,伐,6,662
0x4E4F,0xB7A6,乏,4,663
0x9600,0xB7A7,阀,9,664
0x6CD5,0xB7A8,法,8,665
0x73D0,0xB7A9,珐,9,666
0x85E9,0xB7AA,藩,18,667
0x5E06,0xB7AB,帆,6,668
0x756A,0xB7AC,番,12,669
0x7FFB,0xB7AD,翻,18,670
0x6A0A,0xB7AE,樊,15,671
0x77FE,0xB7AF,矾,8,672
0x9492,0xB7B0,钒,8,673
0x7E41,0xB7B1,繁,17,674
0x51E1,0xB7B2,凡,3,675
0x70E6,0xB7B3,烦,10,676
0x53CD,0xB7B4,反,4,677
0x8FD4,0xB7B5,返,7,678
0x8303,0xB7B6,范,8,679
0x8D29,0xB7B7,贩,8,680
0x72AF,0xB7B8,犯,5,681
0x996D,0xB7B9,饭,7,682
0x6CDB,0xB7BA,泛,7,683
0x574A,0xB7BB,坊,7,684
0x82B3,0xB7BC,芳,7,685
0x65B9,0xB7BD,方,4,686
0x80AA,0xB7BE,肪,8,687
0x623F,0xB7BF,房,8,688
0x9632,0xB7C0,防,6,689
0x59A8,0xB7C1,妨,7,690
0x4EFF,0xB7C2,仿,6,691
0x8BBF,0xB7C3,访,6,692
0x7EBA,0xB7C4,纺,7,693
0x653E,0xB7C5,放,8,694
0x83F2,0xB7C6,菲,11,695
0x975E,0xB7C7,非,8,696
0x5561,0xB7C8,啡,11,697
0x98DE,0xB7C9,飞,3,698
0x80A5,0xB7CA,肥,8,699
0x532A,0xB7CB,匪,10,700
0x8BFD,0xB7CC,诽,10,701
0x5420,0xB7CD,吠,7,702
0x80BA,0xB7CE,肺,8,703
0x5E9F,0xB7CF,废,8,704
0x6CB8,0xB7D0,沸,8,705
0x8D39,0xB7D1,费,9,706
0x82AC,0xB7D2,芬,7,707
0x915A,0xB7D3,酚,11,708
0x5429,0xB7D4,吩,7,709
0x6C1B,0xB7D5,氛,8,710
0x5206,0xB7D6,分,4,711
0x7EB7,0xB7D7,纷,7,712
0x575F,0xB7D8,坟,7,713
0x711A,0xB7D9,焚,12,714
0x6C7E,0xB7DA,汾,7,715
0x7C89,0xB7DB,粉,10,716
0x594B,0xB7DC,奋,8,717
0x4EFD,0xB7DD,份,6,718
0x5FFF,0xB7DE,忿,8,719
0x6124,0xB7DF,愤,12,720
0x7CAA,0xB7E0,粪,12,721
0x4E30,0xB7E1,丰,4,722
0x5C01,0xB7E2,封,9,723
0x67AB,0xB7E3,枫,8,724
0x8702,0xB7E4,蜂,13,725
0x5CF0,0xB7E5,峰,10,726
0x950B,0xB7E6,锋,12,727
0x98CE,0xB7E7,风,4,728
0x75AF,0xB7E8,疯,9,729
0x70FD,0xB7E9,烽,11,730
0x9022,0xB7EA,逢,10,731
0x51AF,0xB7EB,冯,5,732
0x7F1D,0xB7EC,缝,13,733
0x8BBD,0xB7ED,讽,6,734
0x5949,0xB7EE,奉,8,735
0x51E4,0xB7EF,凤,4,736
0x4F5B,0xB7F0,佛,7,737
0x5426,0xB7F1,否,7,738
0x592B,0xB7F2,夫,4,739
0x6577,0xB7F3,敷,15,740
0x80A4,0xB7F4,肤,8,741
0x5B75,0xB7F5,孵,14,742
0x6276,0xB7F6,扶,7,743
0x62C2,0xB7F7,拂,8,744
0x8F90,0xB7F8,辐,13,745
0x5E45,0xB7F9,幅,12,746
0x6C1F,0xB7FA,氟,9,747
0x7B26,0xB7FB,符,11,748
0x4F0F,0xB7FC,伏,6,749
0x4FD8,0xB7FD,俘,9,750
0x670D,0xB7FE,服,8,751
0x6D6E,0xB8A1,浮,10,752
0x6DAA,0xB8A2,涪,11,753
0x798F,0xB8A3,福,13,754
0x88B1,0xB8A4,袱,11,755
0x5F17,0xB8A5,弗,5,756
0x752B,0xB8A6,甫,7,757
0x629A,0xB8A7,抚,7,758
0x8F85,0xB8A8,辅,11,759
0x4FEF,0xB8A9,俯,10,760
0x91DC,0xB8AA,釜,10,761
0x65A7,0xB8AB,斧,8,762
0x812F,0xB8AC,脯,11,763
0x8151,0xB8AD,腑,12,764
0x5E9C,0xB8AE,府,8,765
0x8150,0xB8AF,腐,14,766
0x8D74,0xB8B0,赴,9,767
0x526F,0xB8B1,副,11,768
0x8986,0xB8B2,覆,18,769
0x8D4B,0xB8B3,赋,12,770
0x590D,0xB8B4,复,9,771
0x5085,0xB8B5,傅,12,772
0x4ED8,0xB8B6,付,5,773
0x961C,0xB8B7,阜,8,774
0x7236,0xB8B8,父,4,775
0x8179,0xB8B9,腹,13,776
0x8D1F,0xB8BA,负,6,777
0x5BCC,0xB8BB,富,12,778
0x8BA3,0xB8BC,讣,4,779
0x9644,0xB8BD,附,7,780
0x5987,0xB8BE,妇,6,781
0x7F1A,0xB8BF,缚,13,782
0x5490,0xB8C0,咐,8,783
0x5676,0xB8C1,噶,15,784
0x560E,0xB8C2,嘎,14,785
0x8BE5,0xB8C3,该,8,786
0x6539,0xB8C4,改,7,787
0x6982,0xB8C5,概,13,788
0x9499,0xB8C6,钙,9,789
0x76D6,0xB8C7,盖,11,790
0x6E89,0xB8C8,溉,12,791
0x5E72,0xB8C9,干,3,792
0x7518,0xB8CA,甘,5,793
0x6746,0xB8CB,杆,7,794
0x67D1,0xB8CC,柑,9,795
0x7AFF,0xB8CD,竿,9,796
0x809D,0xB8CE,肝,7,797
0x8D76,0xB8CF,赶,10,798
0x611F,0xB8D0,感,13,799
0x79C6,0xB8D1,秆,8,800
0x6562,0xB8D2,敢,11,801
0x8D63,0xB8D3,赣,21,802
0x5188,0xB8D4,冈,4,803
0x521A,0xB8D5,刚,6,804
0x94A2,0xB8D6,钢,9,805
0x7F38,0xB8D7,缸,9,806
0x809B,0xB8D8,肛,7,807
0x7EB2,0xB8D9,纲,7,808
0x5C97,0xB8DA,岗,7,809
0x6E2F,0xB8DB,港,12,810
0x6760,0xB8DC,杠,7,811
0x7BD9,0xB8DD,篙,16,812
0x768B,0xB8DE,皋,10,813
0x9AD8,0xB8DF,高,10,814
0x818F,0xB8E0,膏,14,815
0x7F94,0xB8E1,羔,10,816
0x7CD5,0xB8E2,糕,16,817
0x641E,0xB8E3,搞,13,818
0x9550,0xB8E4,镐,15,819
0x7A3F,0xB8E5,稿,15,820
0x544A,0xB8E6,告,7,821
0x54E5,0xB8E7,哥,10,822
0x6B4C,0xB8E8,歌,14,823
0x6401,0xB8E9,搁,12,824
0x6208,0xB8EA,戈,4,825
0x9E3D,0xB8EB,鸽,11,826
0x80F3,0xB8EC,胳,10,827
0x7599,0xB8ED,疙,8,828
0x5272,0xB8EE,割,12,829
0x9769,0xB8EF,革,9,830
0x845B,0xB8F0,葛,12,831
0x683C,0xB8F1,格,10,832
0x86E4,0xB8F2,蛤,12,833
0x9601,0xB8F3,阁,9,834
0x9694,0xB8F4,隔,12,835
0x94EC,0xB8F5,铬,11,836
0x4E2A,0xB8F6,个,3,837
0x5404,0xB8F7,各,6,838
0x7ED9,0xB8F8,给,9,839
0x6839,0xB8F9,根,10,840
0x8DDF,0xB8FA,跟,13,841
0x8015,0xB8FB,耕,10,842
0x66F4,0xB8FC,更,7,843
0x5E9A,0xB8FD,庚,8,844
0x7FB9,0xB8FE,羹,19,845
0x57C2,0xB9A1,埂,10,846
0x803F,0xB9A2,耿,10,847
0x6897,0xB9A3,梗,11,848
0x5DE5,0xB9A4,工,3,849
0x653B,0xB9A5,攻,7,850
0x529F,0xB9A6,功,5,851
0x606D,0xB9A7,恭,10,852
0x9F9A,0xB9A8,龚,11,853
0x4F9B,0xB9A9,供,8,854
0x8EAC,0xB9AA,躬,10,855
0x516C,0xB9AB,公,4,856
0x5BAB,0xB9AC,宫,9,857
0x5F13,0xB9AD,弓,3,858
0x5DE9,0xB9AE,巩,6,859
0x6C5E,0xB9AF,汞,7,860
0x62F1,0xB9B0,拱,9,861
0x8D21,0xB9B1,贡,7,862
0x5171,0xB9B2,共,6,863
0x94A9,0xB9B3,钩,9,864
0x52FE,0xB9B4,勾,4,865
0x6C9F,0xB9B5,沟,7,866
0x82DF,0xB9B6,苟,8,867
0x72D7,0xB9B7,狗,8,868
0x57A2,0xB9B8,垢,9,869
0x6784,0xB9B9,构,8,870
0x8D2D,0xB9BA,购,8,871
0x591F,0xB9BB,够,11,872
0x8F9C,0xB9BC,辜,12,873
0x83C7,0xB9BD,菇,11,874
0x5495,0xB9BE,咕,8,875
0x7B8D,0xB9BF,箍,14,876
0x4F30,0xB9C0,估,7,877
0x6CBD,0xB9C1,沽,8,878
0x5B64,0xB9C2,孤,8,879
0x59D1,0xB9C3,姑,8,880
0x9F13,0xB9C4,鼓,13,881
0x53E4,0xB9C5,古,5,882
0x86CA,0xB9C6,蛊,11,883
0x9AA8,0xB9C7,骨,9,884
0x8C37,0xB9C8,谷,7,885
0x80A1,0xB9C9,股,8,886
0x6545,0xB9CA,故,9,887
0x987E,0xB9CB,顾,10,888
0x56FA,0xB9CC,固,8,889
0x96C7,0xB9CD,雇,12,890
0x522E,0xB9CE,刮,8,891
0x74DC,0xB9CF,瓜,5,892
0x5250,0xB9D0,剐,9,893
0x5BE1,0xB9D1,寡,14,894
0x6302,0xB9D2,挂,9,895
0x8902,0xB9D3,褂,13,896
0x4E56,0xB9D4,乖,8,897
0x62D0,0xB9D5,拐,8,898
0x602A,0xB9D6,怪,8,899
0x68FA,0xB9D7,棺,12,900
0x5173,0xB9D8,关,6,901
0x5B98,0xB9D9,官,8,902
0x51A0,0xB9DA,冠,9,903
0x89C2,0xB9DB,观,6,904
0x7BA1,0xB9DC,管,14,905
0x9986,0xB9DD,馆,11,906
0x7F50,0xB9DE,罐,23,907
0x60EF,0xB9DF,惯,12,908
0x704C,0xB9E0,灌,20,909
0x8D2F,0xB9E1,贯,8,910
0x5149,0xB9E2,光,6,911
0x5E7F,0xB9E3,广,3,912
0x901B,0xB9E4,逛,10,913
0x7470,0xB9E5,瑰,13,914
0x89C4,0xB9E6,规,8,915
0x572D,0xB9E7,圭,6,916
0x7845,0xB9E8,硅,11,917
0x5F52,0xB9E9,归,5,918
0x9F9F,0xB9EA,龟,7,919
0x95FA,0xB9EB,闺,9,920
0x8F68,0xB9EC,轨,6,921
0x9B3C,0xB9ED,鬼,9,922
0x8BE1,0xB9EE,诡,8,923
0x7678,0xB9EF,癸,9,924
0x6842,0xB9F0,桂,10,925
0x67DC,0xB9F1,柜,8,926
0x8DEA,0xB9F2,跪,13,927
