unicode,gb2312,Chinese,stroke number,id
0x8BB8,0xD0ED,许,6,3084
0x84C4,0xD0EE,蓄,13,3085
0x9157,0xD0EF,酗,11,3086
0x53D9,0xD0F0,叙,9,3087
0x65ED,0xD0F1,旭,6,3088
0x5E8F,0xD0F2,序,7,3089
0x755C,0xD0F3,畜,10,3090
0x6064,0xD0F4,恤,9,3091
0x7D6E,0xD0F5,絮,12,3092
0x5A7F,0xD0F6,婿,12,3093
0x7EEA,0xD0F7,绪,11,3094
0x7EED,0xD0F8,续,11,3095
0x8F69,0xD0F9,轩,7,3096
0x55A7,0xD0FA,喧,12,3097
0x5BA3,0xD0FB,宣,9,3098
0x60AC,0xD0FC,悬,11,3099
0x65CB,0xD0FD,旋,11,3100
0x7384,0xD0FE,玄,5,3101
0x9009,0xD1A1,选,9,3102
0x7663,0xD1A2,癣,19,3103
0x7729,0xD1A3,眩,10,3104
0x7EDA,0xD1A4,绚,9,3105
0x9774,0xD1A5,靴,13,3106
0x859B,0xD1A6,薛,16,3107
0x5B66,0xD1A7,学,8,3108
0x7A74,0xD1A8,穴,5,3109
0x96EA,0xD1A9,雪,11,3110
0x8840,0xD1AA,血,6,3111
0x52CB,0xD1AB,勋,9,3112
0x718F,0xD1AC,熏,14,3113
0x5FAA,0xD1AD,循,12,3114
0x65EC,0xD1AE,旬,6,3115
0x8BE2,0xD1AF,询,8,3116
0x5BFB,0xD1B0,寻,6,3117
0x9A6F,0xD1B1,驯,6,3118
0x5DE1,0xD1B2,巡,6,3119
0x6B89,0xD1B3,殉,10,3120
0x6C5B,0xD1B4,汛,6,3121
0x8BAD,0xD1B5,训,5,3122
0x8BAF,0xD1B6,讯,5,3123
0x900A,0xD1B7,逊,9,3124
0x8FC5,0xD1B8,迅,6,3125
0x538B,0xD1B9,压,6,3126
0x62BC,0xD1BA,押,8,3127
0x9E26,0xD1BB,鸦,9,3128
0x9E2D,0xD1BC,鸭,10,3129
0x5440,0xD1BD,呀,7,3130
0x4E2B,0xD1BE,丫,3,3131
0x82BD,0xD1BF,芽,7,3132
0x7259,0xD1C0,牙,4,3133
0x869C,0xD1C1,蚜,10,3134
0x5D16,0xD1C2,崖,11,3135
0x8859,0xD1C3,衙,13,3136
0x6DAF,0xD1C4,涯,11,3137
0x96C5,0xD1C5,雅,12,3138
0x54D1,0xD1C6,哑,9,3139
0x4E9A,0xD1C7,亚,6,3140
0x8BB6,0xD1C8,讶,6,3141
0x7109,0xD1C9,焉,11,3142
0x54BD,0xD1CA,咽,9,3143
0x9609,0xD1CB,阉,11,3144
0x70DF,0xD1CC,烟,10,3145
0x6DF9,0xD1CD,淹,11,3146
0x76D0,0xD1CE,盐,10,3147
0x4E25,0xD1CF,严,7,3148
0x7814,0xD1D0,研,9,3149
0x8712,0xD1D1,蜒,12,3150
0x5CA9,0xD1D2,岩,8,3151
0x5EF6,0xD1D3,延,7,3152
0x8A00,0xD1D4,言,7,3153
0x989C,0xD1D5,颜,15,3154
0x960E,0xD1D6,阎,11,3155
0x708E,0xD1D7,炎,8,3156
0x6CBF,0xD1D8,沿,8,3157
